table,migration_creation,nb_colonnes,nb_fk,unique,check,nb_index,rls,utilisee_backend,pret_externe
audit_logs,001_initial.sql,11,1,Non,Non,4,N/A (pas de RLS — voir note architecture),Oui,
auth_otp_challenges,001_initial.sql,9,0,Non,Non,2,N/A (pas de RLS — voir note architecture),Oui,Oui — colonnes prêtes pour un vrai fournisseur SMS/OTP (actuellement simulé en dev)
auth_refresh_tokens,001_initial.sql,12,1,Oui,Non,3,N/A (pas de RLS — voir note architecture),Oui,
categories,001_initial.sql,4,0,Oui,Non,0,N/A (pas de RLS — voir note architecture),NON (voir observations),
conversation_members,001_initial.sql,3,2,Non,Non,1,N/A (pas de RLS — voir note architecture),Oui,
conversations,001_initial.sql,2,0,Non,Non,0,N/A (pas de RLS — voir note architecture),Oui,
dispute_evidence,001_initial.sql,5,2,Non,Non,0,N/A (pas de RLS — voir note architecture),NON (voir observations),
disputes,001_initial.sql,11,3,Non,Oui,3,N/A (pas de RLS — voir note architecture),Oui,
escrow_transactions,001_initial.sql,16,3,Oui,Oui,3,N/A (pas de RLS — voir note architecture),Oui,
financial_correction_actions,020_v23_reconciliation_corrections.sql,7,3,Non,Oui,0,N/A (pas de RLS — voir note architecture),Oui,
financial_correction_cases,020_v23_reconciliation_corrections.sql,17,5,Non,Oui,3,N/A (pas de RLS — voir note architecture),Oui,
financial_operations,004_finance_v4.sql,11,3,Oui,Oui,3,N/A (pas de RLS — voir note architecture),Oui,
idempotency_keys,001_initial.sql,8,1,Oui,Non,0,N/A (pas de RLS — voir note architecture),Oui,
kyc_documents,001_initial.sql,9,3,Non,Oui,2,N/A (pas de RLS — voir note architecture),Oui,Partiel — stockage prévu ; provider de stockage externe non modélisé explicitement
kyc_file_access_logs,024_v27_private_file_access.sql,8,2,Non,Oui,2,N/A (pas de RLS — voir note architecture),NON (voir observations),
ledger_accounts,001_initial.sql,6,0,Oui,Oui,0,N/A (pas de RLS — voir note architecture),Oui,
ledger_entries,001_initial.sql,7,3,Non,Oui,2,N/A (pas de RLS — voir note architecture),Oui,
ledger_transactions,001_initial.sql,5,0,Oui,Non,6,N/A (pas de RLS — voir note architecture),Oui,
live_shops,032_v46_frontend_backend_unification.sql,9,1,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
messages,001_initial.sql,5,2,Non,Oui,1,N/A (pas de RLS — voir note architecture),Oui,
